person_code,first_name,last_name,email,role,school_code,school_name
S01-DEL-001,Lucas,Smith,lucassmith@school1.com,delegate,S01,School 1
S01-DEL-002,Olivia,Jackson,oliviajackson@school1.com,delegate,S01,School 1
S01-DEL-003,Quinn,Wilson,quinnwilson@school1.com,delegate,S01,School 1
S01-DEL-004,Avery,Sanchez,averysanchez@school1.com,delegate,S01,School 1
S01-DEL-005,Quinn,Miller,quinnmiller@school1.com,delegate,S01,School 1
S01-DEL-006,Mason,Rodriguez,masonrodriguez@school1.com,delegate,S01,School 1
S01-DEL-007,Quinn,Sanchez,quinnsanchez@school1.com,delegate,S01,School 1
S01-DEL-008,Alex,Young,alexyoung@school1.com,delegate,S01,School 1
S01-DEL-009,Casey,Young,caseyyoung@school1.com,delegate,S01,School 1
S01-DEL-010,Emma,Hernandez,emmahernandez@school1.com,delegate,S01,School 1
S01-DEL-011,Isabella,Smith,isabellasmith@school1.com,delegate,S01,School 1
S01-DEL-012,Sam,Hernandez,samhernandez@school1.com,delegate,S01,School 1
S01-DEL-013,Sophia,White,sophiawhite@school1.com,delegate,S01,School 1
S01-DEL-014,Jack,Wilson,jackwilson@school1.com,delegate,S01,School 1
S01-DEL-015,Lucas,Garcia,lucasgarcia@school1.com,delegate,S01,School 1
S01-DEL-016,Elliot,Walker,elliotwalker@school1.com,delegate,S01,School 1
S01-DEL-017,Amelia,Davis,ameliadavis@school1.com,delegate,S01,School 1
S01-DEL-018,Liam,Johnson,liamjohnson@school1.com,delegate,S01,School 1
S01-DEL-019,Michael,Taylor,michaeltaylor@school1.com,delegate,S01,School 1
S01-DEL-020,Sam,Martin,sammartin@school1.com,delegate,S01,School 1
S01-DEL-021,Grace,Johnson,gracejohnson@school1.com,delegate,S01,School 1
S01-DEL-022,Casey,Thompson,caseythompson@school1.com,delegate,S01,School 1
S01-DEL-023,Casey,Lewis,caseylewis@school1.com,delegate,S01,School 1
S01-DEL-024,Mia,Jackson,miajackson@school1.com,delegate,S01,School 1
S01-DEL-025,Morgan,Jones,morganjones@school1.com,delegate,S01,School 1
S01-DIR-001,James,Gonzalez,jamesgonzalez@school1.com,delegate,S01,School 1
